label,left_elbow_shoulder_hip,right_elbow_shoulder_hip,right_hip_knee_angle,left_hip_knee_angle,right_elbow_angle,left_elbow_angle,wrist,elbow
bas,33.627997570801156,nan,nan,162.23496257998875,97.73288203470312,71.58789600024264,nan,nan
haut,34.613474930221585,23.960680529830537,nan,nan,173.02008139618908,179.26790955417243,0.7998169187238724,0.830446630882338
haut,34.18130033100851,24.422869592701172,nan,nan,173.20405054075385,179.11766218909617,0.7952796698509603,0.8277254334853225
haut,35.18328050031592,24.145824989968254,nan,nan,172.84289335056485,178.20616435362592,0.8149159449700346,0.8275980353798239
haut,34.57889014222486,24.594483040313314,nan,nan,172.68632123389588,178.26346732363558,0.8154888461576527,0.8283685396694648
haut,34.74068155363434,23.603097306331982,nan,nan,172.9027959428623,178.7913672184655,0.8012702497242961,0.8275777508729568
haut,34.85381335726246,23.34992146343617,nan,nan,172.68978227503726,177.994851366733,0.8097965049638025,0.8256797816712843
haut,34.66677716261125,24.891900658240182,nan,nan,173.23819994072852,178.61667722996006,0.7903006267195419,0.823592270587745
haut,32.51781067592007,21.6141616711676,nan,nan,173.67252657671958,179.06180042486668,0.7691095323754285,0.8167737182227098
haut,32.11975953664381,24.97467371634136,nan,nan,173.9914074184548,178.84193287451288,0.7640272120768673,0.8141224857637471
haut,33.513738680566775,19.080490119620883,nan,nan,173.40607672582405,177.98536730321624,0.7698476444306426,0.8098390791369837
haut,32.749728893349385,25.217671806227035,nan,nan,172.2140011208768,177.1045285604046,0.7605111380426779,0.7914961801147278
haut,38.8908101527065,26.33121206290278,nan,nan,170.14902496052048,169.19547451989408,0.6476548152382161,0.6673062735216844
haut,37.391880634135504,30.7674796642436,nan,nan,165.2481256932429,168.00390985655474,0.7341695320160885,0.7017679459632743
bas,72.92373911692036,66.3028269348531,nan,nan,37.71617714112967,30.01966864009963,0.699652531194707,0.5561044146589766
bas,63.99455406755692,62.05278570670463,nan,nan,32.67746291780663,27.09524301894173,0.6952425049733717,0.558484728394496
bas,60.18216476487609,53.68663548175143,nan,nan,26.33962283520109,22.858934121525042,0.6962822916314731,0.5636697648597747
bas,58.65822129997758,54.51569773134832,nan,nan,26.039710861923364,21.86132009137265,0.6965795879329212,0.5625903955899585
bas,57.99163196058239,50.61987125742843,nan,nan,27.926806621299363,22.085687937496964,0.6484226173225077,0.531125774926308
bas,50.86877114019827,51.18373420956905,nan,nan,27.69457947944129,18.985469076012283,0.6536809388378977,0.544362283987819
bas,50.34141490184362,50.47045651412493,nan,nan,25.532898786311033,18.33780551016657,0.6805864608017184,0.5656986512936719
bas,49.65946832741021,50.51870405482327,nan,nan,25.768151681642784,18.3645305738565,0.6704085710591315,0.5590065338196001
bas,55.03016976927756,50.983985938375284,nan,nan,22.63091726292171,20.06260960909397,0.7138650230009134,0.586874403489448
bas,55.94973685588863,54.71385203860794,nan,nan,24.84020945830822,20.658301459420382,0.6967906212332937,0.5740960388588753
bas,73.57365848946343,58.76588494981779,nan,nan,32.49609267341075,30.98290305498509,0.6957701966887276,0.5714290364004575
haut,58.67779318270281,13.82842125249876,nan,nan,179.361772681994,177.36588787961222,0.4401291555893834,0.6408678016746143
haut,44.73157492224769,16.762562381292078,nan,nan,165.98383649191163,173.90483109990151,0.62872858359841,0.6472198791906358
haut,34.64198903966369,16.123047605941657,nan,nan,172.1333297024312,179.5912115118683,0.7696589908003796,0.8027796898939712
haut,35.76063067183427,20.885507460974324,nan,nan,172.56930350719531,179.0646059641562,0.8216486486550388,0.849663299303267
haut,33.05734503598024,22.30991012301916,nan,nan,174.79968996421277,179.1594633324878,0.8231726291414136,0.863429168708035
haut,33.69777628318408,20.628576490783637,nan,nan,172.31965030499418,179.5952463984319,0.8057077229457671,0.8298619370940821
haut,38.84889345694822,17.831747840529044,nan,nan,168.44905833604048,177.2899892872573,0.7020443702837638,0.7232386665094648
haut,33.461030955481775,20.68818407722895,nan,nan,169.06887272156516,176.92473171100906,0.7834025624105849,0.7810620913178246
bas,105.23666546701675,102.31028051421823,nan,nan,92.23084911374721,66.04660333942815,0.5845879030715398,0.5231279590446216
bas,67.91622910719842,62.909555585838326,nan,nan,34.467683294369166,27.518462425063355,0.7112485717328686,0.5709077485854541
bas,61.02408782497838,57.22029096297059,nan,nan,30.25693896425312,23.512097328089183,0.705072155501436,0.5648061800089551
bas,60.27209765109986,49.49615690384032,nan,nan,27.912331156968694,20.524546022558326,0.6738484209348647,0.5491344908570476
bas,55.03260893630999,50.61471986128606,nan,nan,26.101179376602158,18.69121005415194,0.6931129327907501,0.5699719343685675
bas,53.6966646171342,46.94038595728121,nan,nan,24.47306293720373,18.798840972939864,0.6707581445591907,0.5547719103758907
bas,55.101685326455815,50.90359114586494,nan,nan,25.023512951990917,19.636870634517102,0.6749807399690924,0.5514521431825498
bas,51.06555314865223,47.990982340230936,nan,nan,23.85171909365785,17.566957872853802,0.6925635384438282,0.5714254984713953
bas,57.35624721176577,48.04888231354021,nan,nan,26.005289887775017,20.877435310642788,0.6898499753635565,0.5628821868677926
bas,65.0709025556008,55.332686893829724,nan,nan,30.71287051270887,24.39161466570269,0.7057334115441702,0.5663756469127516
bas,73.27347597783175,59.87715456837517,nan,nan,31.784628651266274,31.388971685868988,0.7293450596679087,0.5767377545054098
haut,165.3661726803061,168.33044931210546,nan,nan,169.6368646692156,171.66826551884435,0.6140837240566867,0.7306135853719147
haut,49.85364912505859,28.919179020791933,147.0838034101553,124.15422486375175,164.47184426399343,164.12646249941272,0.604461530186055,0.6020526616198946
haut,34.36071241429045,24.067952167636477,nan,nan,169.82348019167233,176.93204850714426,0.8045034106954714,0.8001761107947789
haut,39.12168636822897,18.648357089923934,nan,nan,171.85745454906052,178.23181872604692,0.8232021266180337,0.8317422201755874
haut,36.61107083234409,18.555122896495313,nan,nan,174.5017105082547,179.08197141921488,0.8045290626624528,0.8554391100071368
haut,37.69751298299544,13.061037839752561,nan,nan,173.58455445975176,179.4422490439283,0.7935895306467529,0.8363115155816839
haut,37.762444761025506,17.557432381775854,nan,nan,173.94058647918922,178.84380628192181,0.7708531933526307,0.8228149733449367
haut,35.979884991733115,15.597060654921643,nan,nan,173.3649896540562,179.62210539457647,0.7937892354737848,0.8293851550770603
haut,40.22116605891317,16.32530358501673,nan,nan,172.56444378184332,178.65817419890462,0.8136582831779275,0.8340478303055505
haut,38.29726289957911,15.296430656668145,nan,nan,169.03514946941922,178.0815770179546,0.7829967430642958,0.781855083351073
haut,38.06937907005313,16.176929589730534,nan,nan,169.02162951033284,175.49258064838185,0.7705041212865563,0.7621871543427309
haut,36.485400398405055,19.091118165781072,nan,nan,170.24870808273823,172.62054070545867,0.7830825751724625,0.7660841627886901
